question,answer
How are you feeling today?,I am here to listen without judgment.
I feel sad.,I'm sorry you're feeling sad. Want to share more?
I feel anxious.,Let's slow down. What is making you anxious?
I feel scared.,Your feelings matter. Are you safe right now?
I feel lonely.,Loneliness can hurt. You don't have to face it alone.
I feel hopeless.,I'm sorry. Please tell someone you trust today.
I feel angry.,Anger is valid. Let's understand what triggered it.
I feel stressed.,Let's take one small step at a time.
I cannot sleep.,Try slow breathing and reduce stimulation before bed.
I keep crying.,Crying can release emotion. You are not weak.
I feel numb.,Feeling numb can happen during overwhelming situations.
Nobody understands me.,That sounds painful. I am listening to you.
I feel unsafe.,Your immediate safety is important. Seek trusted help.
I am overwhelmed.,Pause. Focus only on the next small action.
I cannot stop worrying.,Try naming what you can control today.
I feel worthless.,"You have value, even when your mind disagrees."
I blame myself.,What happened may not be your fault.
I feel ashamed.,Shame grows in silence. Consider trusted support.
I feel guilty.,"Guilt deserves examination, not automatic self-punishment."
I feel helpless.,You may have more options than you see now.
I feel trapped.,Let's think about one safe option available.
I miss my old life.,Loss can hurt deeply. Your feelings make sense.
I cannot concentrate.,Stress can affect concentration. Take short breaks.
I have nightmares.,Nightmares can follow distress. Ground yourself afterward.
I keep remembering it.,Intrusive memories can happen after traumatic events.
I feel disconnected.,Try noticing five things around you.
I feel exhausted.,Rest is important. Your body may need recovery.
I feel nervous around people.,That can follow difficult experiences. Go slowly.
I don't trust anyone.,Trust can take time to rebuild.
I feel constantly alert.,Your body may be responding to perceived danger.
I am shaking.,Try slow breaths and sit somewhere safe.
My heart is racing.,Slow your breathing. Seek medical help if severe.
I cannot calm down.,Let's try breathing in for four counts.
I feel panic.,You are experiencing intense fear. Focus on safety.
I feel pressure everywhere.,You don't need to solve everything immediately.
I hate myself.,I'm sorry you're hurting. You deserve compassion.
I feel broken.,"You are hurting, not necessarily broken."
I want to disappear.,Please contact someone trusted and stay near others.
I don't want to talk.,That's okay. You can share when ready.
I need someone.,Reaching out is a strong first step.
Can you listen?,Yes. Tell me what is on your mind.
Can I trust you?,"I will respond respectfully, but human support also matters."
Will you judge me?,No. I will listen without judging you.
Why do I feel this way?,Stress and trauma can affect thoughts and emotions.
Is my reaction normal?,Many reactions can follow distress. Your experience matters.
Am I weak?,No. Struggling does not make you weak.
Will I recover?,"Recovery is possible, often with time and support."
How do I calm down?,Slow breathing and grounding can help.
What is grounding?,Grounding helps bring attention back to the present.
How do I breathe slowly?,"Inhale gently, pause briefly, then exhale slowly."
What can I control?,"Focus on your actions, safety, and immediate choices."
How can I sleep better?,Create a quiet routine and avoid stimulating screens.
How do I stop overthinking?,"Notice thoughts, then redirect attention to something concrete."
How do I handle fear?,Acknowledge fear and focus on immediate safety.
How do I manage anger?,Pause before reacting and identify the trigger.
How do I manage sadness?,Allow feelings and connect with supportive people.
How do I manage stress?,Break large problems into smaller manageable steps.
How do I manage loneliness?,Reach out to one safe person or community.
How do I handle guilt?,Ask whether you truly caused the harm.
How do I rebuild confidence?,Start with small achievable actions and recognize progress.
How do I trust again?,Trust can rebuild gradually through safe experiences.
How do I stop blaming myself?,Consider responsibility carefully and challenge unfair self-blame.
How do I feel safe?,Move toward safe places and trusted people.
Who can I talk to?,"A trusted friend, counselor, family member, or helpline."
Should I see a therapist?,Professional support can help when distress feels persistent.
What does therapy do?,Therapy provides structured support for thoughts and emotions.
Can trauma affect memory?,"Yes, distress can affect memory and concentration."
Can stress cause headaches?,Stress can contribute to physical symptoms for some people.
Can anxiety affect breathing?,"Yes, anxiety can change breathing patterns."
Why am I always tired?,Stress and poor sleep can contribute to exhaustion.
Why do I feel numb?,Numbness can be a response to overwhelming emotions.
Why do I avoid people?,Avoidance can temporarily reduce distress but reinforce fear.
Why do memories return?,The brain may revisit distressing experiences after trauma.
Why am I easily startled?,Your nervous system may be staying highly alert.
Why can't I relax?,Stress can keep your body in a protective state.
Why do I feel angry?,"Anger can signal hurt, injustice, fear, or frustration."
Why do I feel ashamed?,"Shame may arise after blame, humiliation, or trauma."
Why do I feel guilty?,"Guilt can reflect values, responsibility, or unfair self-blame."
Why do I feel alone?,Disconnection can increase after stressful or traumatic experiences.
Why do I feel hopeless?,Severe stress can make the future seem closed off.
What is emotional distress?,It is significant emotional suffering affecting daily life.
What is trauma?,Trauma can result from deeply threatening or overwhelming events.
What is anxiety?,"Anxiety involves excessive fear, worry, or nervousness."
What is depression?,Depression can involve persistent low mood and reduced interest.
What is a panic attack?,It is a sudden surge of intense fear and symptoms.
What is self-care?,Self-care includes actions supporting physical and emotional wellbeing.
What is resilience?,Resilience is the ability to adapt after difficulties.
What is emotional support?,"It means receiving understanding, care, and encouragement."
What is active listening?,Listening attentively without interrupting or immediately judging.
What should I do now?,Start by ensuring safety and contacting trusted support.
I witnessed violence.,Witnessing violence can be distressing. Are you safe now?
I experienced abuse.,I'm sorry this happened. You deserve safety and support.
Someone threatened me.,Threats should be taken seriously. Move toward safety.
I was humiliated.,Humiliation can deeply hurt. Your dignity still matters.
I faced discrimination.,Discrimination can cause real harm. Your experience matters.
I was harassed.,I'm sorry. Consider documenting events and seeking support.
I was bullied.,Bullying is harmful. Tell someone safe who can help.
I feel targeted.,That sounds frightening. Focus on immediate safety and support.
I fear retaliation.,Avoid unnecessary risks and seek trusted professional guidance.
I was unfairly treated.,Unfair treatment can cause anger and distress.
I lost someone.,I'm sorry for your loss. Grief can be intense.
I lost my home.,That is a major loss. Focus on immediate safety.
I lost my job.,Job loss can feel frightening. Support and planning help.
I lost my community.,Disconnection after loss can be deeply painful.
I was displaced.,Displacement can be traumatic. Seek local support services.
I feel unsafe at home.,"If danger is immediate, move toward a safer place."
I fear going outside.,Fear can grow after trauma. Don't force unsafe exposure.
I fear my abuser.,Your safety comes first. Seek trusted local assistance.
I cannot report them.,Reporting may feel unsafe. Consider confidential support options.
I don't know whom to trust.,Start with professionals or carefully chosen safe people.
They won't believe me.,Being disbelieved is painful. Your experience still matters.
I have no proof.,Lack of proof does not erase your experience.
I feel embarrassed asking help.,Asking for help is not something to shame.
I feel ashamed to tell anyone.,You can share only what feels safe.
I keep replaying events.,Your mind may be processing what happened.
I avoid reminders.,"Avoidance is understandable, though support may gradually help."
I freeze when afraid.,Freezing is a common protective response.
I cannot speak about it.,You don't have to force yourself before ready.
I feel responsible for everything.,You may be carrying responsibility that isn't yours.
I keep apologizing.,You may have learned to protect yourself through appeasing.
I feel powerless.,Small choices can help rebuild a sense of control.
I don't recognize myself.,Major stress can change how you feel temporarily.
I feel emotionally empty.,Emotional exhaustion can make feelings seem distant.
I am afraid to sleep.,Create safety cues and seek support for persistent fear.
I fear the future.,Focus on the next safe and manageable step.
I fear being alone.,Stay near trusted people when possible.
I fear crowds.,Crowds may feel overwhelming. Choose safer quieter spaces.
I fear certain places.,Your brain may connect places with past danger.
I avoid conversations.,Avoidance can protect temporarily while increasing isolation.
I cannot eat.,Stress can affect appetite. Seek medical support if persistent.
I am eating too much.,Stress can influence eating patterns. Avoid harsh self-judgment.
I keep checking doors.,Feeling unsafe can increase checking behaviors.
I cannot stop crying.,Try staying with someone supportive and breathing slowly.
I feel like screaming.,Release tension safely through breathing or physical movement.
I want to run away.,First consider where you can safely go.
I need immediate help.,"If immediate danger exists, contact emergency services now."
I might hurt myself.,Please move away from means and contact emergency support.
I have suicidal thoughts.,Please seek immediate human support and emergency help.
I made a plan to die.,Contact emergency services or a trusted person immediately.
I have means to hurt myself.,Move away from them and seek immediate help.
I cannot stay safe.,Please contact emergency services or someone nearby now.
Someone may hurt me.,Move toward a safer public or trusted place.
I am being attacked.,Contact emergency services immediately if possible.
I am trapped with someone.,Prioritize immediate safety and contact emergency help.
I need an emergency number.,Tell me your country for appropriate emergency contacts.
Can you call someone?,"I cannot place calls, but I can guide you."
